"deep","age","attitude","strategic","surface","gender","Points"
3.58333333333333,53,3.7,3.375,2.58333333333333,"F",25
2.91666666666667,55,3.1,2.75,3.16666666666667,"M",12
3.5,49,2.5,3.625,2.25,"F",24
3.5,53,3.5,3.125,2.25,"M",10
3.66666666666667,49,3.7,3.625,2.83333333333333,"M",22
4.75,38,3.8,3.625,2.41666666666667,"F",21
3.83333333333333,50,3.5,2.25,1.91666666666667,"M",21
3.25,37,2.9,4,2.83333333333333,"F",31
4.33333333333333,37,3.8,4.25,2.16666666666667,"M",24
4,42,2.1,3.5,3,"F",26
3.58333333333333,37,3.9,3.625,2.66666666666667,"M",31
3.83333333333333,34,3.8,4.75,2.41666666666667,"F",31
4.25,34,2.4,3.625,2.25,"F",23
3.33333333333333,34,3,3.5,2.75,"F",25
4.16666666666667,35,2.6,1.75,2.33333333333333,"M",21
3.66666666666667,33,4.1,3.875,2.33333333333333,"F",31
4.08333333333333,32,2.6,1.375,2.91666666666667,"F",20
3.5,44,2.6,3.25,2.5,"F",22
4.08333333333333,29,1.7,3,3.75,"M",9
4,30,2.7,3.75,2.75,"F",24
3.91666666666667,27,3.9,2.625,2.33333333333333,"M",28
4,29,3.4,2.375,2.41666666666667,"M",30
4,31,2.7,3.625,3,"F",24
3.66666666666667,37,2.3,2.75,2.41666666666667,"F",9
3.66666666666667,26,3.7,1.75,2.83333333333333,"F",26
4.41666666666667,26,4.4,3.25,3.16666666666667,"F",32
3.91666666666667,30,4.1,4,3,"M",32
3.75,33,3.7,3.625,2,"F",33
3.25,33,2.5,2.875,3.5,"F",29
3.58333333333333,28,3,3,3.75,"M",30
4.91666666666667,26,3.4,1.625,2.5,"M",19
3.58333333333333,27,3.2,3.25,2.08333333333333,"F",23
2.91666666666667,25,2,3.5,2.41666666666667,"F",19
3.66666666666667,31,2.4,3,2.58333333333333,"F",12
4.5,20,4.2,3.25,1.58333333333333,"M",10
4.08333333333333,39,1.6,1.875,2.83333333333333,"F",11
3.83333333333333,38,3.1,4.375,1.83333333333333,"M",20
3.25,24,3.8,3.625,2.41666666666667,"M",26
2.33333333333333,26,3.8,2.5,3.25,"M",31
3.33333333333333,25,3.3,1.25,3.41666666666667,"M",20
4.08333333333333,30,1.7,4,3.41666666666667,"F",23
2.91666666666667,25,2.5,3,3.16666666666667,"F",12
3.33333333333333,30,3.2,2.5,3.5,"M",24
3.83333333333333,48,3.5,4.875,2.66666666666667,"F",17
3.66666666666667,24,3.2,5,2.41666666666667,"F",29
4.66666666666667,40,4.2,4.375,3.58333333333333,"F",23
3.75,25,3.1,3.25,2.08333333333333,"M",28
3.41666666666667,23,3.9,4,3.75,"F",31
4.16666666666667,25,1.9,3.125,2.91666666666667,"F",23
2.91666666666667,23,2.1,2.5,2.91666666666667,"F",25
4.16666666666667,27,2.5,3.125,2.41666666666667,"M",18
3.58333333333333,25,3.2,3.25,3,"M",19
2.83333333333333,23,3.2,2.125,3.41666666666667,"M",22
4,23,2.6,2.75,2.91666666666667,"F",25
2.91666666666667,23,2.3,2.375,3.25,"F",21
3,45,3.8,3.125,3.25,"F",9
4.08333333333333,22,2.8,4,2.33333333333333,"F",28
2.91666666666667,23,3.3,4,3.25,"F",25
3.5,21,4.8,2.25,2.5,"M",29
4.33333333333333,21,4,3.25,1.75,"M",33
4.25,21,4,3.625,2.25,"F",33
3.41666666666667,21,4.7,3.625,2.08333333333333,"F",25
3.08333333333333,26,2.3,2.5,2.83333333333333,"F",18
4.58333333333333,25,3.1,1.875,2.83333333333333,"F",22
3.41666666666667,26,2.7,2,2.41666666666667,"F",17
3.41666666666667,21,4.1,1.875,2.25,"M",25
3.41666666666667,23,3.4,4,2.83333333333333,"F",28
3.58333333333333,22,2.5,2.875,2.25,"F",22
1.58333333333333,22,2.1,3.875,1.83333333333333,"F",26
3.33333333333333,22,1.4,2.5,2.91666666666667,"F",11
4.33333333333333,23,1.9,2.75,2.91666666666667,"F",29
4.41666666666667,22,3.7,4.5,2.08333333333333,"M",22
4.83333333333333,23,3.2,3.375,2.33333333333333,"M",21
3.08333333333333,24,2.8,2.625,2.41666666666667,"M",28
3,22,4.1,4.125,2.75,"F",33
4.08333333333333,23,2.5,2.625,3.25,"F",16
4.08333333333333,22,2.8,2.25,1.75,"M",31
3.75,20,3.8,2.75,2.58333333333333,"M",22
3.08333333333333,22,3.1,3,3.33333333333333,"M",31
4.75,21,3.5,1.625,2.83333333333333,"M",23
4.25,22,3.6,1.875,2.5,"F",26
