"","deep","age","attitude","strategic","surface","gender","Points"
"1",3.58333333333333,53,3.7,3.375,2.58333333333333,"F",25
"2",2.91666666666667,55,3.1,2.75,3.16666666666667,"M",12
"3",3.5,49,2.5,3.625,2.25,"F",24
"4",3.5,53,3.5,3.125,2.25,"M",10
"5",3.66666666666667,49,3.7,3.625,2.83333333333333,"M",22
"6",4.75,38,3.8,3.625,2.41666666666667,"F",21
"7",3.83333333333333,50,3.5,2.25,1.91666666666667,"M",21
"8",3.25,37,2.9,4,2.83333333333333,"F",31
"9",4.33333333333333,37,3.8,4.25,2.16666666666667,"M",24
"10",4,42,2.1,3.5,3,"F",26
"11",3.58333333333333,37,3.9,3.625,2.66666666666667,"M",31
"12",3.83333333333333,34,3.8,4.75,2.41666666666667,"F",31
"13",4.25,34,2.4,3.625,2.25,"F",23
"14",3.33333333333333,34,3,3.5,2.75,"F",25
"15",4.16666666666667,35,2.6,1.75,2.33333333333333,"M",21
"17",3.66666666666667,33,4.1,3.875,2.33333333333333,"F",31
"18",4.08333333333333,32,2.6,1.375,2.91666666666667,"F",20
"19",3.5,44,2.6,3.25,2.5,"F",22
"20",4.08333333333333,29,1.7,3,3.75,"M",9
"21",4,30,2.7,3.75,2.75,"F",24
"22",3.91666666666667,27,3.9,2.625,2.33333333333333,"M",28
"23",4,29,3.4,2.375,2.41666666666667,"M",30
"24",4,31,2.7,3.625,3,"F",24
"25",3.66666666666667,37,2.3,2.75,2.41666666666667,"F",9
"26",3.66666666666667,26,3.7,1.75,2.83333333333333,"F",26
"27",4.41666666666667,26,4.4,3.25,3.16666666666667,"F",32
"28",3.91666666666667,30,4.1,4,3,"M",32
"30",3.75,33,3.7,3.625,2,"F",33
"31",3.25,33,2.5,2.875,3.5,"F",29
"32",3.58333333333333,28,3,3,3.75,"M",30
"33",4.91666666666667,26,3.4,1.625,2.5,"M",19
"34",3.58333333333333,27,3.2,3.25,2.08333333333333,"F",23
"35",2.91666666666667,25,2,3.5,2.41666666666667,"F",19
"36",3.66666666666667,31,2.4,3,2.58333333333333,"F",12
"37",4.5,20,4.2,3.25,1.58333333333333,"M",10
"38",4.08333333333333,39,1.6,1.875,2.83333333333333,"F",11
"39",3.83333333333333,38,3.1,4.375,1.83333333333333,"M",20
"40",3.25,24,3.8,3.625,2.41666666666667,"M",26
"41",2.33333333333333,26,3.8,2.5,3.25,"M",31
"42",3.33333333333333,25,3.3,1.25,3.41666666666667,"M",20
"43",4.08333333333333,30,1.7,4,3.41666666666667,"F",23
"44",2.91666666666667,25,2.5,3,3.16666666666667,"F",12
"45",3.33333333333333,30,3.2,2.5,3.5,"M",24
"46",3.83333333333333,48,3.5,4.875,2.66666666666667,"F",17
"47",3.66666666666667,24,3.2,5,2.41666666666667,"F",29
"48",4.66666666666667,40,4.2,4.375,3.58333333333333,"F",23
"49",3.75,25,3.1,3.25,2.08333333333333,"M",28
"50",3.41666666666667,23,3.9,4,3.75,"F",31
"51",4.16666666666667,25,1.9,3.125,2.91666666666667,"F",23
"52",2.91666666666667,23,2.1,2.5,2.91666666666667,"F",25
"53",4.16666666666667,27,2.5,3.125,2.41666666666667,"M",18
"54",3.58333333333333,25,3.2,3.25,3,"M",19
"55",2.83333333333333,23,3.2,2.125,3.41666666666667,"M",22
"56",4,23,2.6,2.75,2.91666666666667,"F",25
"57",2.91666666666667,23,2.3,2.375,3.25,"F",21
"58",3,45,3.8,3.125,3.25,"F",9
"59",4.08333333333333,22,2.8,4,2.33333333333333,"F",28
"60",2.91666666666667,23,3.3,4,3.25,"F",25
"61",3.5,21,4.8,2.25,2.5,"M",29
"62",4.33333333333333,21,4,3.25,1.75,"M",33
"63",4.25,21,4,3.625,2.25,"F",33
"64",3.41666666666667,21,4.7,3.625,2.08333333333333,"F",25
"65",3.08333333333333,26,2.3,2.5,2.83333333333333,"F",18
"66",4.58333333333333,25,3.1,1.875,2.83333333333333,"F",22
"67",3.41666666666667,26,2.7,2,2.41666666666667,"F",17
"68",3.41666666666667,21,4.1,1.875,2.25,"M",25
"70",3.41666666666667,23,3.4,4,2.83333333333333,"F",28
"71",3.58333333333333,22,2.5,2.875,2.25,"F",22
"72",1.58333333333333,22,2.1,3.875,1.83333333333333,"F",26
"73",3.33333333333333,22,1.4,2.5,2.91666666666667,"F",11
"74",4.33333333333333,23,1.9,2.75,2.91666666666667,"F",29
"75",4.41666666666667,22,3.7,4.5,2.08333333333333,"M",22
"77",4.83333333333333,23,3.2,3.375,2.33333333333333,"M",21
"78",3.08333333333333,24,2.8,2.625,2.41666666666667,"M",28
"79",3,22,4.1,4.125,2.75,"F",33
"80",4.08333333333333,23,2.5,2.625,3.25,"F",16
"81",4.08333333333333,22,2.8,2.25,1.75,"M",31
"82",3.75,20,3.8,2.75,2.58333333333333,"M",22
"83",3.08333333333333,22,3.1,3,3.33333333333333,"M",31
"84",4.75,21,3.5,1.625,2.83333333333333,"M",23
"85",4.25,22,3.6,1.875,2.5,"F",26
"86",4.16666666666667,23,2.6,3.375,2.41666666666667,"F",12
"87",4.41666666666667,21,4.4,3.75,2.41666666666667,"M",26
"88",3.83333333333333,22,4.5,2.125,2.58333333333333,"M",31
"89",3.33333333333333,29,3.2,2.375,3,"M",19
"91",3.16666666666667,29,3.9,2.75,2,"F",30
"92",3.16666666666667,21,2.5,3.125,3.41666666666667,"F",12
"93",3.83333333333333,28,3.3,3.5,2.83333333333333,"M",17
"95",4.25,21,3.3,2.625,2.25,"F",18
"96",3.83333333333333,30,3,3.375,2.75,"F",19
"97",3.66666666666667,21,2.9,2.25,3.91666666666667,"F",21
"98",3.83333333333333,23,3.3,3,2.33333333333333,"M",24
"99",3.83333333333333,21,3.3,4,2.75,"F",28
"100",3.83333333333333,21,3.5,3.5,2.75,"F",17
"101",3.66666666666667,20,3.6,2.625,2.91666666666667,"F",18
"103",4.33333333333333,22,3.7,2.5,2.08333333333333,"M",17
"105",3.75,21,4.2,3.75,3.66666666666667,"M",23
"107",4.16666666666667,21,3.2,3.625,2.83333333333333,"M",26
"108",4,20,5,4.125,3.41666666666667,"F",28
"109",4,22,4.7,4.375,1.58333333333333,"M",31
"110",4.58333333333333,20,3.6,2.625,2.91666666666667,"F",27
"111",3.66666666666667,20,3.6,4,3,"F",25
"112",3.66666666666667,24,2.9,2.75,2.91666666666667,"M",23
"113",3.83333333333333,20,3.5,2.75,2.66666666666667,"F",21
"114",2.58333333333333,19,4,1.375,3,"F",27
"115",3.5,21,3.5,2.25,2.75,"F",28
"116",3.08333333333333,21,3.2,3.625,3.08333333333333,"F",23
"117",4.25,22,2.6,3.75,2.5,"F",21
"118",3.16666666666667,25,2,4,2.33333333333333,"F",25
"119",3.08333333333333,21,2.7,3.125,3,"F",11
"120",4.16666666666667,22,3.2,3.25,3,"F",19
"121",2.25,25,3.3,2.125,4,"F",24
"122",3.33333333333333,20,3.9,2.875,3.25,"F",28
"123",3.08333333333333,24,3.3,1.5,3.5,"M",21
"124",2.75,20,3,2.5,3.5,"F",24
"125",3.25,21,3.7,3.25,3.83333333333333,"M",24
"128",4,20,2.5,3.625,2.91666666666667,"F",20
"129",3.58333333333333,20,2.9,3.875,2.16666666666667,"F",19
"130",4.08333333333333,31,3.9,3.875,1.66666666666667,"M",30
"131",4.25,20,3.6,2.375,2.08333333333333,"F",22
"132",3.41666666666667,22,2.9,3,2.83333333333333,"F",16
"133",3.08333333333333,22,2.1,3.375,3.41666666666667,"F",16
"134",3.5,21,3.1,2.75,3.33333333333333,"M",19
"136",3.66666666666667,22,4,4.5,2.58333333333333,"M",30
"137",4.25,21,3.1,2.625,2.83333333333333,"F",23
"138",4.25,21,2.3,2.75,3.33333333333333,"F",19
"139",3.83333333333333,21,2.8,3.25,3,"F",18
"140",4.41666666666667,21,3.7,4.125,2.58333333333333,"F",28
"141",3.5,20,2.6,3.375,2.41666666666667,"F",21
"142",3.58333333333333,21,2.4,2.75,3.58333333333333,"F",19
"143",3.66666666666667,25,3,4.125,2.08333333333333,"F",27
"146",2.08333333333333,21,2.8,3.25,4.33333333333333,"M",24
"147",4.25,24,2.9,2.875,2.66666666666667,"F",21
"148",3.58333333333333,20,2.4,2.875,3,"F",20
"149",4,21,3.1,2.375,2.66666666666667,"M",28
"150",3.33333333333333,20,1.9,3.875,2.16666666666667,"F",12
"151",3.5,20,2,2.125,2.66666666666667,"F",21
"152",3.16666666666667,18,3.8,4,2.25,"F",28
"153",3.58333333333333,21,3.4,3.25,2.66666666666667,"F",31
"154",3.41666666666667,19,3.7,2.625,3.33333333333333,"F",18
"155",4.25,21,2.9,2.75,3.5,"F",25
"156",3.25,20,2.3,4,2.75,"F",19
"157",4.41666666666667,21,4.1,3,2,"M",21
"158",3.25,20,2.7,3.375,2.83333333333333,"F",16
"159",3.91666666666667,21,3.5,3.875,3.5,"F",7
"160",3.58333333333333,20,3.4,3.25,2.5,"F",21
"161",4.5,18,3.2,3.375,3.16666666666667,"F",17
"162",3.58333333333333,22,3.3,4.125,3.08333333333333,"M",22
"163",3.66666666666667,22,3.3,3.5,2.91666666666667,"F",18
"164",2.58333333333333,24,3.5,2,3.16666666666667,"M",25
"165",4.16666666666667,19,3.2,3.625,2.5,"F",24
"166",3.25,20,3.1,3.375,3.83333333333333,"F",23
"168",4.33333333333333,20,2.8,2.125,2.25,"F",23
"169",3.91666666666667,17,1.7,4.625,3.41666666666667,"F",26
"170",2.66666666666667,19,1.9,2.5,3.75,"M",12
"172",3.08333333333333,20,3.5,2.875,3,"F",32
"173",3.75,20,2.4,2.75,2.58333333333333,"F",22
"175",4.16666666666667,20,2.1,4,3.33333333333333,"F",20
"176",4.16666666666667,20,2.9,2.375,2.83333333333333,"F",21
"177",3.25,19,1.9,3.875,3,"F",23
"178",4.08333333333333,19,2,3.375,2.83333333333333,"F",20
"179",2.91666666666667,22,4.2,1.75,3.16666666666667,"F",28
"180",3.83333333333333,35,4.1,3,2.75,"M",31
"181",3.16666666666667,18,3.7,2.625,3.41666666666667,"F",18
"182",3.41666666666667,19,3.6,2.625,3,"F",30
"183",4.08333333333333,21,1.8,3.375,2.66666666666667,"M",19
